"databasename","parentschema","parenttable","columnname","columnorder","datatype","columnsize","constrainttype","childschema","childtable","childcolumn"
"project_schedule_db","public","baseline_sched_items","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"project_schedule_db","public","baseline_sched_items","project_id",2,"integer",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","baseline_sched_items","phase_item",3,"integer",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","baseline_sched_items","item_date",4,"date",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","baseline_sched_items","project_baseline_id",5,"bigint",NULL,"FOREIGN KEY","public","project","id"
"project_schedule_db","public","baseline_sched_items","baseline_items_id",6,"bigint",NULL,"FOREIGN KEY","public","phase_items","id"
"project_schedule_db","public","contract","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"project_schedule_db","public","contract","contract_name",2,"character varying",50,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"project_schedule_db","public","mods_changes","mod_co_name",2,"character varying",20,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","project_id",3,"integer",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","type",4,"character varying",20,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","court_date",5,"date",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","schedule_impacted",6,"boolean",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","budget_impacted",7,"boolean",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","why",8,"character varying",255,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","approved",9,"boolean",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","approv_datetm",10,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","mods_changes","project_mods_id",11,"bigint",NULL,"FOREIGN KEY","public","project","id"
"project_schedule_db","public","monthly_sched_items","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"project_schedule_db","public","monthly_sched_items","monthly_sched_id",2,"integer",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","monthly_sched_items","phase_item",3,"integer",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","monthly_sched_items","item_date",4,"date",NULL,NULL,NULL,NULL,NULL
"project_schedule_db","public","monthly_sched_items","monthly_items_id",5,"bigint",NULL,"FOREIGN KEY","public","phase_items","id"
